"Video Explanation","FFF-Video","Exercise Name","Exercise Description","Repetitions","Sets","Load","Recovery Time","Type","Muscle Group","ID","Created Date","Updated Date","Owner"
"wix:video://v1/c4f4b1_090da741a63946c28f16ce51dec526cc/Sprints#posterUri=c4f4b1_090da741a63946c28f16ce51dec526ccf000.jpg&posterWidth=1080&posterHeight=1920",true,"All-Out Sprints","Start in an athletic stance with your feet hip-width apart, knees slightly bent and core engaged. Lean forward slightly, ensuring your weight is on the balls of your feet. Explosively push off the ground with maximum effort, driving your knees high and maintaining powerful arm swings. Keep your strides long but controlled, ensuring proper sprint mechanics – head neutral, shoulders relaxed and foot contacts landing under your centre of mass. Maintain full acceleration through the sprint distance, ensuring top-end speed is reached and held before decelerating gradually. Walk back to the start and take full recovery before repeating.","1x20m","5","'-","45s","[""Max Velocity""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves""]","03c0724a-27b3-408a-8822-2c5737c161b0",2025-03-04T23:02:02Z,2025-03-21T19:43:24Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Landmine Deadlift into Rotational Press","Position a barbell in a landmine attachment and stand  perpendicular to the bar. Grasp the end of the barbell with the inside hand on top and the outside hand underneath. Perform a deadlift, lifting the bar to waist height, then pivot on your back foot to rotate your torso as you press the bar diagonally upward in the direction of its base. In this process you can remove the inside hand as it is not used in the press. Lower the bar back to the start position with control.","10 (5 each side)","4","20kg","90s","[""Max Power"",""Strength-Speed""]","[""Glutes"",""Hamstrings"",""Core"",""Shoulders""]","051b4bae-6a59-49bb-8e8e-286c5630a43a",2025-02-03T23:23:21Z,2025-02-05T08:31:33Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Kneeling Adductor Rockbacks","Kneel on one knee with the other leg extended straight out to the side. Slowly push your hips back while keeping your back straight, then return to the start.","20 (10 each side)","1","'-","'-","[""Pre-Training""]","[""Adductors"",""Hip Stabilisers""]","05411fac-8423-4866-81c2-c39afe6fef4e",2025-01-29T07:37:48Z,2025-02-05T05:46:21Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Sprint to Deceleration Freeze","Mark out a 10-15m sprint lane. Start in an athletic stance and sprint forward at maximum effort. At the designated marker decelerate rapidly by lowering your hips and planting your feet in a stable position. Stop completely and ""freeze"" in a balanced stance for 2-3 seconds. Focus on controlling your momentum during the deceleration phase, keeping your chest upright and knees aligned over your toes.",,,"'-","90s","[""Deceleration""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core"",""Calves""]","05d4666b-6355-41f1-bc22-2e7556797b18",2025-01-23T21:19:46Z,2025-02-05T08:40:30Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Pallof Power Turn","Maintain the same upper body control as before, with extended arms throughout the rotation. This time however, shift your hips at the same time so that you finish in a fighter’s stance facing away
from the machine.","5","5","6kg",,"[""Max Power"",""Stability""]","[""Core"",""Obliques"",""Shoulders""]","05f27333-a623-4fcf-b0a4-a983e6f52a46",2025-02-05T09:14:28Z,2025-02-05T10:58:59Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Barbell Calf Isometric Hold","Stand on a raised surface with a barbell on your back, ensuring your heels are hanging off. Rise onto your toes and hold at the top position, maintaining tension in the calves. Lower under control.","20s","3","50% 1RM","60s","[""Max Strength""]","[""Calves""]","0659176c-f7ee-473e-b8c4-56eb15e3c02f",2025-02-05T11:41:10Z,2025-02-18T20:53:21Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"wix:video://v1/c4f4b1_36502be3851f4a0bac45f3fdc28e5f9c/Pallof%20Press%20+%20Overhead%20Reach#posterUri=c4f4b1_36502be3851f4a0bac45f3fdc28e5f9cf000.jpg&posterWidth=1440&posterHeight=1080",,"Pallof Press with Overhead Reach","Stand sideways to a cable machine or resistance band anchor, holding the handle or band at chest height with both hands. Press the handle straight out, keeping your core tight and avoiding rotation. From this extended position, lift the weight or band overhead, maintaining control and resisting the pull of the band. Lower back down under control before bringing your hands back to your chest.","8 (4 each side)","3","Heavy Resistance Band or 8kg","60s","[""Hypertrophy/Isolation"",""Prehab""]","[""Core"",""Obliques"",""Shoulders""]","0697cf35-e7da-4d72-805b-ffccef6aa9a3",2025-01-23T15:05:25Z,2025-03-21T19:55:30Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Landmine Skater Squat","Stand facing a landmine attachment with the bar held close to your chest. Shift your weight onto one leg and lower your body into a single-leg squat while simultaneously moving the other leg diagonally behind you, mimicking a skater’s motion. Keep your chest upright, core engaged, and knee aligned over the toes. Push through the working leg to return to standing, maintaining control and balance throughout.","8 (4 each side)","3","40kg","90s","[""Max Power""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core""]","06ba1e2b-eeaa-4e7f-9e9b-940116283d9e",2025-02-05T09:11:13Z,2025-10-13T17:06:50Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Overhead Throw","Stand facing away from the throwing direction with an 8kg medicine ball held in both hands. Plant your feet shoulder-width apart. Squat slightly to generate power, then explosively drive through your legs and hips while throwing the ball overhead and backwards as far as possible. Use a strong upward and backward motion with your arms to maximise the throw distance. Maintain control of your body throughout the movement and ensure a safe area behind you for the throw.","1","3","'-","Full","[""Testing""]","[""Shoulders"",""Core"",""Upper Back""]","06c57488-e982-4489-8cd4-2ee9ce9da31e",2025-01-22T13:46:22Z,2025-02-05T07:03:21Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Kneeling Overhead Press","Start in a tall kneeling position, holding dumbbells at shoulder height. Press the weights overhead, fully extending your arms without arching your lower back. Lower under control and repeat.","12","3","50% 1RM","60s","[""Max Power"",""Strength-Speed""]","[""Shoulders"",""Triceps"",""Core""]","073d501a-f8ae-4b1c-aa31-eb0dfa340403",2025-02-05T11:34:32Z,2025-03-21T19:52:41Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Rowing Machine Intervals","Strap into the rower and grasp the handle with both hands. Begin each stroke by pushing with the legs, then lean back slightly at the hips as you pull the handle to the lower ribs. Reverse the motion to return. Maintain a smooth, connected sequence with each stroke, and avoid over-relying on the arms. Full intensity and pace is expected during each set/cycle.","90s","6","Max Resistance","45s",,,"0936f24d-d0dc-4b95-97c8-865e23e1990f",2025-05-21T12:29:17Z,2025-05-21T12:30:55Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Single-Arm Cable Crossover","Stand lateral to the machine and grip a cable handle with the inside of your hand. Avoid leaning too far forward with this unilateral movement as stability may be compromised. Place your spare hand against your hip for stability. Pull your arm down in front of you forming an arc in front of your chest. Squeeze your chest at the end of the motion and return to the starting position. Ensure to keep your core engaged throughout the movement and breathe.","10 (5 each side)","3","15kg*",,"[""Max Power""]","[""Chest"",""Shoulders"",""Core""]","09aeb5ca-ad45-4aa0-9fe3-6625f24fd194",2025-02-05T09:27:36Z,2025-02-05T11:15:03Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"High Band Chest Activation Pulses","Anchor a resistance band at chest height and hold both ends in front of your body. Take a small step back to create tension. Set your elbows at 90° and rapidly pulse the hands forward in short explosive pushes while maintaining posture and shoulder control. The movement should be fast and reactive from the chest with minimal range. Stay tall and still through the torso, maintaining band tension at all times.","30","1","Medium-Resistance Band","'-",,,"09bc355c-b20c-4d5f-97b8-ce233a368b13",2025-04-20T20:48:58Z,2025-04-20T20:49:07Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Downhill Run","Start at the top of a moderate downhill slope, ensuring the incline is not too steep to maintain control. Begin sprinting gradually, allowing the natural slope to increase your speed while keeping your stride controlled and posture upright. Focus on quick, light foot contacts, minimising braking while maintaining an efficient forward lean. Avoid overstriding or allowing your feet to land too far in front of your body, as this can increase the risk of injury.",,,"'-","Full","[""Max Velocity""]","[""Glutes"",""Hamstrings"",""Quadriceps"",""Calves""]","09f885b7-0532-47b9-afaf-7f45cc1bc186",2025-01-23T21:12:49Z,2025-02-05T08:37:05Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Hip Thrust with Hold","Sit on the floor with your upper back resting against a bench and a barbell or weight plate positioned over your hips. Drive through your heels, lifting your hips until your torso forms a straight line from shoulders to knees. Hold this top position for three seconds, keeping your glutes engaged and core tight before lowering with control.","5","3","60-70% 1RM","Full","[""Hypertrophy/Isolation""]","[""Glutes"",""Hamstrings"",""Core""]","0a5f3d0e-9c3d-403c-8d14-d572de4dc2c8",2025-01-23T14:47:38Z,2025-02-11T05:30:02Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Single-Leg Hamstring Bridges","Lie on your back with one foot flat on the floor and the other leg extended straight. Push through the heel of your grounded foot, lifting your hips while keeping your extended leg in line with your torso. Hold briefly at the top, ensuring your glutes and hamstrings are engaged, then lower slowly.","x","x","'-","60s","[""Hypertrophy/Isolation""]","[""Hamstrings"",""Glutes"",""Core""]","0ade16fb-b089-4ceb-9ec7-7a8fdba0109a",2025-01-16T05:18:47Z,2025-02-05T07:08:00Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Ring Row to Reach (Heels on Floor)","Set gymnastic rings at waist height and grip them while leaning back with your heels on the floor and body in a straight line. Pull your chest to the rings by driving your elbows back. At the top of the row, pause and extend both arms forward into a reach before returning to the rings. Lower yourself back under control to the start. Keep your core engaged and avoid sagging at the hips.","5","3","'-","75s",,,"0b301a04-ca89-4c14-967b-6b8bb1d13cce",2025-05-21T11:40:22Z,2025-05-21T11:40:22Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Localised Icing","Wait for 30 minutes post-session then Ice / Game Ready the afflicted area for 10 minutes each hour for three hours.","1","1","'-","50 minutes","[""Prehab""]",,"0bb2d127-3048-4d58-afd7-c73b4ca6576c",2025-01-29T07:37:38Z,2025-01-29T07:46:04Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lateral Edge Walks - Straight Leg","Stand on the edge of a step with one foot off the ground. Slowly lower your free leg to the side, keeping it straight, then return under control. Focus on controlled movement and glute activation.","16 (8 each side)","3","Bodyweight","45s","[""Prehab / Injury Prevention"",""Stability / Balance""]","[""Glutes"",""Hip Stabilisers""]","0c056d3c-a5d5-46a4-9d6c-6dca169b958e",2025-02-05T11:42:10Z,2025-02-19T00:19:11Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Walking Hamstring Scoops","Stand tall and take a small step forward. With the front leg extended and heel on the ground, reach down with both hands to ‘scoop’ under the toes, keeping the back flat. Step through and repeat on the other leg. Maintain an upright posture between scoops and move with steady rhythm. The motion stretches the hamstrings dynamically with each step.","20 (10 each side)","1","'-","'-",,,"0c312c9e-69fd-4846-8b83-0a7b4b8a8c5b",2025-06-03T11:59:31Z,2025-06-03T11:59:31Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Step-Up to Knee Drive","Stand in front of a box or bench. Step one foot onto the platform and drive your opposite knee upward explosively while maintaining balance. Return to the starting position with control and repeat on the same side before switching.","8 (4 each side)","1","'-","90s","[""Strength-Speed""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core""]","0c63cda7-d908-4f51-8c33-9a8cef2f3396",2025-02-04T01:05:56Z,2025-02-05T08:31:23Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Standing DB Shoulder Press","Stand tall with a dumbbell in each hand, pressing the weights overhead until arms are fully extended. Lower under control and repeat. Keep your core engaged throughout.","12","3","50% 1RM","60s","[""Max Power"",""Strength-Speed""]","[""Shoulders"",""Triceps"",""Core""]","0d22fe73-e990-4cc9-81f0-97d3681e8629",2025-02-05T11:34:25Z,2025-02-19T00:54:31Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Sprint to Deceleration to Back Pedal","Start in a sprint-ready position, then accelerate forward for a short burst. As you reach top speed, quickly decelerate by lowering your centre of gravity, absorbing force through your quads and glutes. Immediately transition into a controlled backpedal, keeping your knees bent while maintaining control. Focus on efficient braking mechanics, smooth transitions and proper foot placement.",,,"'-","90s","[""Deceleration""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core"",""Calves""]","0dbca491-8e8d-49a0-8dcd-cc033bf77e4c",2025-01-23T21:20:07Z,2025-02-05T08:40:28Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"ZigZag Pogos","Perform quick, reactive hops, moving in a zigzag pattern while maintaining minimal ground contact time. Keep knees slightly bent and ensure smooth lateral transitions.","20 (10 each side)","3","'-","45s","[""Max Velocity"",""Change of Direction""]","[""Calves"",""Hip Flexors""]","0e14afb4-dcdc-402a-8f27-bc5c12f549cb",2025-02-05T11:32:04Z,2025-06-03T11:53:13Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Hang Clean Pull","Stand with feet shoulder-width apart and a barbell held in front of your thighs. With a slight bend in the knees and a flat back, hinge at the hips to lower the bar slightly above the knees. From this position, extend powerfully through the hips, knees and ankles while pulling the bar upward with straight arms, leading with the elbows. Finish tall, then reset. Keep the bar close to the body and avoid excessive backward lean.","4","4","60kg*","Full",,,"0e48daed-7dcc-4ce8-89e7-e3cf407a6224",2025-06-03T12:09:49Z,2025-06-03T12:09:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Nordic with Full ROM Banded","Perform a Nordic hamstring curl with a resistance band attached to provide assistance. Control the descent and ascent, focusing on maintaining tension throughout the movement.","12","3","Light-Resistance Band","60s","[""Strength-Speed"",""Prehab / Injury Prevention""]","[""Hamstrings"",""Glutes""]","0e4d2271-df75-4d29-99f7-d27967bf2030",2025-02-05T11:37:49Z,2025-02-19T00:25:20Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Load & Lift - Linear","Stand in a split stance with your back heel raised, keeping your torso upright and core engaged. Lower into a slight forward lean, loading the front leg before explosively driving the knee upwards in a powerful motion. Hold the top position momentarily before resetting. Maintain a smooth, controlled transition between loading and lifting, ensuring force is transferred efficiently.",,,"'-","Full","[""Acceleration""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core""]","0ec9a51c-639c-4f97-8e78-23469c388d35",2025-01-23T21:08:15Z,2025-02-05T08:38:26Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Curved L-Run + Cone Touch","Set cones up to denote defenders in a back line. Sprint across this line with a slight curve using one of the cones as a trigger to turn the corner and run in behind the defence. As you turn the corner, try to maintain a high pace while simultaneously dropping to tap the cone.","4 (2 each side)","2","'-","Full",,,"0f0a28d1-75e9-43c7-9ef7-6232882138ec",2025-06-03T11:53:18Z,2025-06-03T11:59:36Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Chest Supported Reverse Flies","Lie face down on an incline bench, holding dumbbells in both hands. Keeping a slight bend in your elbows, raise your arms out to the sides, squeezing your shoulder blades together. Lower the weights under control before repeating.","12","3","40% 1RM","60s","[""Hypertrophy / Isolation""]","[""Rear Delts"",""Upper Back""]","0f0a86b9-6579-43ba-8479-7c476cec98f7",2025-02-05T11:35:55Z,2025-02-18T23:48:03Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Wall Hydrant Iso","Stand facing a wall for support, lift one knee outward at 90 degrees, and hold the position while engaging your glutes and core. Maintain balance and control without rotating your hips. Switch sides after completing reps.","20s","3","'-","45s","[""Stability / Balance"",""Prehab / Injury Prevention""]","[""Glutes"",""Hip Stabilisers""]","0f3f30d1-fd92-4473-9a6d-4c0716d6598c",2025-02-05T11:37:25Z,2025-06-03T11:53:07Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Hanging S.L March Banded","Attach a resistance band to your feet and a low anchor point, then hang from a pull-up bar. Perform a single-leg marching motion, lifting your knee towards your chest, engaging your core throughout. The band provides resistance to improve strength and control.","16 (8 each side)","3","Light-Resistance Band","45s","[""Stability / Balance"",""Prehab / Injury Prevention""]","[""Core"",""Hip Flexors""]","0fd80f0a-2a8d-4542-a68c-fe33b448996a",2025-02-05T11:40:34Z,2025-02-19T00:02:21Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Inverted Row","Hold a bar at waist height, positioning your body underneath. Keep your legs extended and core engaged. Row your chest towards the bar, squeezing your shoulder blades together, then lower under control.","12","3","'-","60s","[""Strength-Speed"",""Stability / Balance""]","[""Upper Back"",""Lats"",""Core""]","0fe08e4e-0102-4464-940f-595a528bb392",2025-02-05T11:33:50Z,2025-04-04T21:18:08Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Power Skips","Traditional bounds into the air from one leg to the other; lifting one knee up to waist height while springing up off your opposite foot. Perform forwards, then right, then left.","18 (6f, 6r, 6l)","3","'-",,"[""Speed-Strength""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves""]","10c33510-21a1-48cc-a65f-d77b003702a2",2025-02-05T09:52:19Z,2025-02-05T11:10:29Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Wall Rotational Double Switch","Stand sideways to a wall and lean in towards it with one hand against it at enough of an angle such that you would fall over if the wall were not there. Powerfully swing your outside hip around to face in towards the wall, bringing your torso with it to finish facing the wall, and your knee high up to hip height. From this position, immediately double switch by driving the standing foot upwards and simultaneously dropping the high knee back down towards the ground, repeating the switch one more time to return to the original inside leg being the standing side to finish. Maintain low and aggressive acceleration mechanics. Reset to the start position after the double switch.","10 (5 each side)","2","'-","75s",,,"10c68e29-644b-4261-bbb2-4bbdd53f6351",2025-03-13T21:32:55Z,2025-03-13T21:32:55Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Standing Ankle Circles","Stand tall and lift your right foot off the ground. Rotate your ankle in a slow, controlled circular motion. Perform clockwise and counterclockwise rotations.","20 (right side only)","1","'-","'-","[""Pre-Training""]","[""Ankle Mobility"",""Tibialis Anterior"",""Calves""]","1224d029-d1e0-45b1-879e-2d4e80100a0f",2025-01-29T07:36:02Z,2025-02-05T07:11:21Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Sprint Mechanics","Begin in a tall, upright stance. Drive one knee upwards to hip height while striking down with the opposite arm in a forceful motion. Alternate sides with quick, powerful movements, focusing on high knees, a strong vertical torso and active arm drive. Stay on the balls of your feet and minimise ground contact time. Each movement should be crisp and purposeful, simulating the timing and rhythm of top-end sprinting without covering distance.","3 each side","3","'-","75s",,,"129ad6b0-081f-452d-b1ff-390ad109e1ee",2025-05-22T18:22:29Z,2025-05-22T18:22:47Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Cable Chest Press","Set the cables at chest height and stand in a staggered stance. Grip the handles and press them forward until your arms are extended in front of your chest. Pause briefly, then return under control to the start position. Keep your core braced and avoid flaring the ribs or leaning backward. The motion should come from the chest and shoulders while maintaining trunk stability.","5","3","30kg","90s",,,"12bcf08d-c3f8-4eff-84fa-c596670089e8",2025-06-03T12:10:55Z,2025-06-03T12:13:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Single-Leg Glute Bridge","Lie on your back with one knee bent and the other leg extended straight. Press through the heel of the bent leg to lift your hips while keeping the extended leg in line with your torso. Squeeze your glutes at the top, then lower under control before repeating.","12 (6 each side)","3","'-","75s",,,"12d80713-22c4-4098-b907-c1a81f861bbe",2025-03-07T13:07:54Z,2025-03-07T13:07:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Sumo Deadlifts","Stand with a wide stance and toes slightly turned out, gripping the barbell inside your knees. Drive through your heels, keeping your chest lifted, and extend your hips and knees simultaneously to stand tall. Lower under control.","12","3","80% 1RM","90s","[""Max Strength"",""Strength-Speed""]","[""Glutes"",""Hamstrings"",""Quadriceps""]","12dc1521-3d24-4765-b455-6dc578e2e11a",2025-02-05T11:36:09Z,2025-02-19T00:57:04Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Dumbbell Bench Press","Lie flat on a bench, holding dumbbells above your chest with your palms facing forward. Lower the dumbbells slowly and under control until they are just above your chest, keeping your elbows at a 45-degree angle. Press the weights back up explosively, ensuring full extension at the top.","5-5-4-4","4","60-70% 1RM","90s","[""Max Power""]","[""Chest"",""Triceps"",""Shoulders""]","12e916db-b6c1-4a1c-89d7-454e619b3b8b",2025-01-23T14:56:23Z,2025-02-05T05:34:47Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Split Stance Load and Push-Back","Start in a split stance with 80% of your weight on the front leg. Sink slowly into the front leg to fully transfer your weight forward and then pausing with control. Push back into the start position with force using glute and hamstring drive. Keep the torso tall, hips loaded. Your weight stays forward throughout, but you are training yourself to use ground force to push your weight backwards.","12 (6 each side)","1","'-","'-","[""Prehab""]",,"1351ecb1-9177-41d7-938b-a00ed79b2bf3",2025-07-16T18:25:00Z,2025-07-16T18:25:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Dead Bug with Stability Ball","Lie on your back with a stability ball pressed between your hands and knees. Extend one arm and the opposite leg while keeping the ball pressed with the other limbs. Return to the start and switch sides. Keep core engaged throughout.","10 (5 each side)","2","'-","'-","[""Prehab""]","[""Core""]","13b8efaf-b505-42d8-96ff-30d7d6e86fc4",2025-02-27T23:23:10Z,2025-04-04T21:17:31Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Overhead Reach To Squat","Stand tall with your feet shoulder-width apart. Reach your arms straight up towards the ceiling, then lower into a deep squat while keeping your chest upright and arms overhead. Push through your heels to return to standing, maintaining an extended spine throughout the movement.","8","1","'-","'-","[""Pre-Training""]","[""Shoulders"",""Core"",""Quadriceps"",""Glutes""]","13f1ef71-5347-474e-bde8-7b43b0270765",2025-01-16T09:05:43Z,2025-02-05T07:03:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Hindu Push-Ups","Start in a downward dog position, with your hips high and arms extended. Lower your chest down and forward, moving through a smooth, arcing motion, finishing in an upward dog position with your hips lowered and chest lifted. Reverse the motion to return to the starting position, maintaining fluid movement and core control throughout.",,,"'-","45s","[""Mobility""]","[""Chest"",""Shoulders"",""Triceps"",""Core""]","145f454d-95f2-48df-b6f5-557a3d3fae36",2025-01-23T20:59:33Z,2025-02-05T08:42:51Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
